Rotated Filter (dFilter = 1.6, K_0 = 0.0001) for fluid with viscosity = 0.0479, density = 866.2
====================
| Row  | Phi_0_ | phi | theta | h   | method     | pressuredrop | runtime | FiltEST_runtime |
| 191  | 0.1    | 10  | 40    | 0.4 | "K_KC"     | 4.86171      | 0.50977 | 22.641          |
| 192  | 0.1    | 10  | 40    | 0.4 | "K_xi"     | 5.41946      | 0.35156 | 18.406          |
| 193  | 0.1    | 10  | 40    | 0.4 | "fill"     | 7.31882      | 0.36816 | 23.875          |
| 194  | 0.1    | 10  | 40    | 0.4 | "remove"   | 3.33578      | 0.33984 | 25.75           |
| 195  | 0.1    | 10  | 40    | 0.4 | "midpoint" | 5.28131      | 0.35449 | 21.922          |
| 196  | 0.1    | 10  | 40    | 0.1 | "fill"     | 5.76153      | 15.492  | 376.25          |
| 197  | 0.1    | 10  | 40    | 0.1 | "remove"   | 4.77946      | 14.906  | 381.0           |
| 198  | 0.1    | 10  | 40    | 0.1 | "midpoint" | 5.26776      | 14.609  | 381.25          |
| 199  | 0.1    | 20  | 90    | 0.4 | "K_JJ"     | 6.90786      | 0.29932 | 22.047          |
| 200  | 0.1    | 20  | 90    | 0.4 | "K_KC"     | 6.60708      | 0.26538 | 24.875          |
| 201  | 0.1    | 20  | 90    | 0.4 | "K_xi"     | 7.33174      | 0.32031 | 25.594          |
| 202  | 0.1    | 20  | 90    | 0.4 | "fill"     | 9.47827      | 0.31665 | 24.516          |
| 203  | 0.1    | 20  | 90    | 0.4 | "remove"   | 4.80525      | 0.25635 | 25.125          |
| 204  | 0.1    | 20  | 90    | 0.4 | "midpoint" | 7.08666      | 0.32397 | 23.469          |
| 205  | 0.1    | 20  | 90    | 0.1 | "fill"     | 7.86848      | 13.742  | 375.25          |
| 206  | 0.1    | 20  | 90    | 0.1 | "remove"   | 6.67884      | 14.219  | 364.25          |
| 207  | 0.1    | 20  | 90    | 0.1 | "midpoint" | 7.30834      | 13.195  | 369.5           |
| 208  | 0.1    | 20  | 85    | 0.4 | "K_JJ"     | 6.88822      | 0.30371 | 23.141          |
| 209  | 0.1    | 20  | 85    | 0.4 | "K_KC"     | 6.59069      | 0.30664 | 23.141          |
| 210  | 0.1    | 20  | 85    | 0.4 | "K_xi"     | 7.30941      | 0.27979 | 23.234          |
| 211  | 0.1    | 20  | 85    | 0.4 | "fill"     | 9.41686      | 0.30322 | 22.563          |
| 212  | 0.1    | 20  | 85    | 0.4 | "remove"   | 4.88448      | 0.29883 | 25.594          |
| 213  | 0.1    | 20  | 85    | 0.4 | "midpoint" | 7.13469      | 0.30566 | 23.984          |
| 214  | 0.1    | 20  | 85    | 0.1 | "fill"     | 7.82657      | 13.719  | 355.25          |
| 215  | 0.1    | 20  | 85    | 0.1 | "remove"   | 6.6707       | 13.398  | 346.25          |
| 216  | 0.1    | 20  | 85    | 0.1 | "midpoint" | 7.24917      | 13.602  | 366.5           |
| 217  | 0.1    | 20  | 80    | 0.4 | "K_JJ"     | 6.82487      | 0.30713 | 25.031          |
| 218  | 0.1    | 20  | 80    | 0.4 | "K_KC"     | 6.52867      | 0.31274 | 22.859          |
| 219  | 0.1    | 20  | 80    | 0.4 | "K_xi"     | 7.24438      | 0.28516 | 24.875          |
| 220  | 0.1    | 20  | 80    | 0.4 | "fill"     | 9.46453      | 0.32153 | 23.938          |
| 221  | 0.1    | 20  | 80    | 0.4 | "remove"   | 4.71928      | 0.30835 | 24.344          |
| 222  | 0.1    | 20  | 80    | 0.4 | "midpoint" | 7.04121      | 0.29419 | 23.094          |
| 223  | 0.1    | 20  | 80    | 0.1 | "fill"     | 7.77726      | 13.461  | 352.0           |
| 224  | 0.1    | 20  | 80    | 0.1 | "remove"   | 6.5882       | 13.875  | 351.75          |
| 225  | 0.1    | 20  | 80    | 0.1 | "midpoint" | 7.18259      | 13.336  | 368.5           |
| 226  | 0.1    | 20  | 75    | 0.4 | "K_JJ"     | 6.73028      | 0.32764 | 24.109          |
| 227  | 0.1    | 20  | 75    | 0.4 | "K_KC"     | 6.43936      | 0.31519 | 25.422          |
| 228  | 0.1    | 20  | 75    | 0.4 | "K_xi"     | 7.14404      | 0.32617 | 24.438          |
| 229  | 0.1    | 20  | 75    | 0.4 | "fill"     | 9.433        | 0.27271 | 24.313          |
| 230  | 0.1    | 20  | 75    | 0.4 | "remove"   | 4.5595       | 0.3042  | 24.484          |
| 231  | 0.1    | 20  | 75    | 0.4 | "midpoint" | 6.96709      | 0.32056 | 22.891          |
| 232  | 0.1    | 20  | 75    | 0.1 | "fill"     | 7.68055      | 13.75   | 364.0           |
| 233  | 0.1    | 20  | 75    | 0.1 | "remove"   | 6.46652      | 13.758  | 372.75          |
| 234  | 0.1    | 20  | 75    | 0.1 | "midpoint" | 7.07315      | 14.242  | 375.75          |
| 235  | 0.1    | 20  | 70    | 0.4 | "K_JJ"     | 6.59539      | 0.33496 | 24.188          |
| 236  | 0.1    | 20  | 70    | 0.4 | "K_KC"     | 6.31114      | 0.33276 | 23.938          |
| 237  | 0.1    | 20  | 70    | 0.4 | "K_xi"     | 7.00211      | 0.3396  | 25.063          |
| 238  | 0.1    | 20  | 70    | 0.4 | "fill"     | 9.31677      | 0.33423 | 24.391          |
| 239  | 0.1    | 20  | 70    | 0.4 | "remove"   | 4.4186       | 0.323   | 25.766          |
| 240  | 0.1    | 20  | 70    | 0.4 | "midpoint" | 6.84424      | 0.29028 | 24.203          |
| 241  | 0.1    | 20  | 70    | 0.1 | "fill"     | 7.53727      | 14.523  | 383.5           |
| 242  | 0.1    | 20  | 70    | 0.1 | "remove"   | 6.30918      | 14.563  | 379.5           |
| 243  | 0.1    | 20  | 70    | 0.1 | "midpoint" | 6.92091      | 14.203  | 358.5           |
| 244  | 0.1    | 20  | 65    | 0.4 | "K_JJ"     | 6.42048      | 0.33643 | 24.688          |
| 245  | 0.1    | 20  | 65    | 0.4 | "K_KC"     | 6.14449      | 0.33594 | 26.047          |
| 246  | 0.1    | 20  | 65    | 0.4 | "K_xi"     | 6.81773      | 0.34058 | 23.859          |
| 247  | 0.1    | 20  | 65    | 0.4 | "fill"     | 9.12265      | 0.31885 | 24.328          |
| 248  | 0.1    | 20  | 65    | 0.4 | "remove"   | 4.26823      | 0.33398 | 24.766          |
| 249  | 0.1    | 20  | 65    | 0.4 | "midpoint" | 6.69323      | 0.33521 | 24.938          |
| 250  | 0.1    | 20  | 65    | 0.1 | "fill"     | 7.34356      | 14.836  | 379.25          |
| 251  | 0.1    | 20  | 65    | 0.1 | "remove"   | 6.11498      | 14.656  | 372.75          |
| 252  | 0.1    | 20  | 65    | 0.1 | "midpoint" | 6.72795      | 14.328  | 370.0           |
| 253  | 0.1    | 20  | 60    | 0.4 | "K_JJ"     | 6.2023       | 0.33545 | 24.563          |
| 254  | 0.1    | 20  | 60    | 0.4 | "K_KC"     | 5.9352       | 0.3501  | 23.906          |
| 255  | 0.1    | 20  | 60    | 0.4 | "K_xi"     | 6.58825      | 0.32666 | 24.313          |
